%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=2960232141, 2016/01/13 19:41:57.7)
54 433 7.892021e-02 8.044644e-01 2.774808e-01 2.774808e-01 3.583815e-01 4.118727e-01 4.670866e-01 8.044644e-01 
55 441 7.843831e-02 7.786330e-01 2.786086e-01 2.786086e-01 3.804057e-01 4.031337e-01 4.558780e-01 7.786330e-01 
56 449 7.495205e-02 7.802045e-01 2.790839e-01 2.790839e-01 3.680987e-01 3.915772e-01 4.370740e-01 7.802045e-01 
57 457 6.577772e-02 7.557754e-01 2.814596e-01 2.814596e-01 3.536136e-01 3.835916e-01 4.223374e-01 7.557754e-01 
58 465 6.795365e-02 7.256249e-01 2.801977e-01 2.801977e-01 3.613239e-01 3.725765e-01 4.566613e-01 7.256249e-01 
59 473 7.582120e-02 6.966900e-01 2.699742e-01 2.699742e-01 3.589036e-01 3.870852e-01 4.978105e-01 6.966900e-01 
60 481 6.543026e-02 6.966893e-01 2.592768e-01 2.592768e-01 3.453825e-01 3.810554e-01 4.930036e-01 6.966893e-01 
61 489 6.392533e-02 6.728111e-01 2.504319e-01 2.504319e-01 3.368383e-01 3.938775e-01 5.147185e-01 6.728111e-01 
62 497 6.894133e-02 6.712600e-01 2.686587e-01 2.686587e-01 3.443535e-01 3.934759e-01 5.175443e-01 6.712600e-01 
63 505 7.302176e-02 6.532777e-01 2.619707e-01 2.619707e-01 3.383782e-01 3.802498e-01 5.623858e-01 6.532777e-01 
64 513 7.411153e-02 6.371315e-01 2.563869e-01 2.563869e-01 3.401920e-01 3.665335e-01 6.196077e-01 6.371315e-01 
65 521 7.193641e-02 6.334442e-01 2.511568e-01 2.511568e-01 3.288698e-01 3.519531e-01 6.093495e-01 6.334442e-01 
66 529 8.146641e-02 7.330481e-01 2.498557e-01 2.498557e-01 3.175234e-01 3.461531e-01 6.021892e-01 7.330481e-01 
67 537 7.376996e-02 7.174015e-01 2.513912e-01 2.513912e-01 3.056443e-01 3.350688e-01 5.780663e-01 7.174015e-01 
68 545 6.361764e-02 7.231682e-01 2.424833e-01 2.424833e-01 2.926274e-01 3.266417e-01 5.553390e-01 7.231682e-01 
69 553 5.082487e-02 6.956584e-01 2.332381e-01 2.332381e-01 2.807799e-01 3.155199e-01 5.401438e-01 6.956584e-01 
70 561 4.757904e-02 6.671808e-01 2.309277e-01 2.309277e-01 2.808581e-01 3.040513e-01 5.482850e-01 6.671808e-01 
71 569 4.570568e-02 6.448067e-01 2.230785e-01 2.230785e-01 2.759834e-01 3.057435e-01 5.381266e-01 6.448067e-01 
72 577 4.760634e-02 6.377572e-01 2.146162e-01 2.146162e-01 2.783708e-01 2.954396e-01 5.510667e-01 6.377572e-01 
73 585 4.891576e-02 6.495803e-01 2.058140e-01 2.058140e-01 2.686720e-01 3.026666e-01 5.301373e-01 6.495803e-01 
74 593 4.850298e-02 6.640948e-01 1.982969e-01 1.982969e-01 2.586126e-01 3.007236e-01 5.136263e-01 6.640948e-01 
75 601 4.740990e-02 6.414180e-01 1.987738e-01 1.987738e-01 2.537791e-01 2.930450e-01 5.006977e-01 6.414180e-01 
76 609 4.890806e-02 6.430180e-01 2.035309e-01 2.035309e-01 2.506729e-01 2.852093e-01 4.849040e-01 6.430180e-01 
77 617 4.240380e-02 6.230028e-01 1.958019e-01 1.958019e-01 2.409833e-01 2.750812e-01 4.733408e-01 6.230028e-01 
78 625 3.279369e-02 5.967702e-01 1.880995e-01 1.880995e-01 2.327600e-01 2.643194e-01 4.564700e-01 5.967702e-01 
79 633 2.917853e-02 5.884451e-01 1.811438e-01 1.811438e-01 2.259928e-01 2.561896e-01 4.466337e-01 5.884451e-01 
80 641 2.820913e-02 5.842671e-01 1.732799e-01 1.732799e-01 2.404167e-01 2.472443e-01 4.279586e-01 5.842671e-01 
81 649 2.666873e-02 5.798320e-01 1.704268e-01 1.704268e-01 2.389191e-01 2.502005e-01 4.165579e-01 5.798320e-01 
82 657 2.230538e-02 5.567805e-01 1.670520e-01 1.670520e-01 2.328054e-01 2.478817e-01 4.037523e-01 5.567805e-01 
83 665 2.216522e-02 5.955564e-01 1.619946e-01 1.619946e-01 2.341793e-01 2.408754e-01 3.901789e-01 5.955564e-01 
84 673 2.178703e-02 6.233168e-01 1.554463e-01 1.554463e-01 2.268151e-01 2.314997e-01 3.744178e-01 6.233168e-01 
85 681 1.795782e-02 6.015984e-01 1.496567e-01 1.496567e-01 2.195528e-01 2.242772e-01 3.669418e-01 6.015984e-01 
86 689 1.635308e-02 5.947964e-01 1.504189e-01 1.504189e-01 2.119118e-01 2.184750e-01 3.516165e-01 5.947964e-01 
87 697 1.537040e-02 5.771755e-01 1.522371e-01 1.522371e-01 2.091804e-01 2.112758e-01 3.371471e-01 5.771755e-01 
88 705 1.388602e-02 5.701559e-01 1.489267e-01 1.489267e-01 2.029910e-01 2.068861e-01 3.246624e-01 5.701559e-01 
89 713 1.196283e-02 5.537476e-01 1.435209e-01 1.435209e-01 1.965577e-01 2.044271e-01 3.143706e-01 5.537476e-01 
90 721 9.307715e-03 5.319874e-01 1.381367e-01 1.381367e-01 1.903494e-01 2.011231e-01 3.029943e-01 5.319874e-01 
91 729 9.914601e-03 5.350934e-01 1.387954e-01 1.387954e-01 1.875620e-01 2.157032e-01 2.994058e-01 5.350934e-01 
92 737 1.109824e-02 5.275076e-01 1.398370e-01 1.398370e-01 1.831854e-01 2.300004e-01 3.111248e-01 5.275076e-01 
93 745 1.054475e-02 5.110976e-01 1.344734e-01 1.344734e-01 1.804455e-01 2.229826e-01 3.091488e-01 5.110976e-01 
94 753 8.490533e-03 4.896387e-01 1.290154e-01 1.290154e-01 1.757502e-01 2.139044e-01 3.006101e-01 4.896387e-01 
95 761 8.980572e-03 5.344274e-01 1.235716e-01 1.235716e-01 1.709873e-01 2.053184e-01 3.064677e-01 5.344274e-01 
96 769 1.155267e-02 5.502228e-01 1.239751e-01 1.239751e-01 1.744597e-01 2.002878e-01 3.009845e-01 5.502228e-01 
