%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=2960232141, 2016/01/13 19:41:57.7)
17 137 6.584594e-01 1.861321e+00  7.510608099578290364e+01  8.127823454159415917e+01  1.029257558550628175e+02  1.420536843363364596e+02
18 145 5.607961e-01 1.839430e+00  7.510608099578290364e+01  1.052089909658305800e+02  1.162190785676695270e+02  1.243480801816875783e+02
19 153 5.097922e-01 1.892452e+00  7.510608099578290364e+01  7.910873466704398993e+01  1.111384007189638083e+02  1.301130240453578892e+02
20 161 4.588545e-01 1.999017e+00  7.510608099578290364e+01  9.310050752928617612e+01  1.150330902666933639e+02  1.386365035293326287e+02
21 169 4.114904e-01 2.066961e+00  7.510608099578290364e+01  8.149320161800508799e+01  9.075661728921912186e+01  1.370286268138437720e+02
22 177 3.753171e-01 2.097512e+00  7.317650374978109085e+01  7.317650374978109085e+01  1.072145132795384370e+02  1.248390094539356454e+02
23 185 3.276653e-01 2.104329e+00  5.719966971472194217e+01  5.719966971472194217e+01  9.955312048625970078e+01  1.275859640001529982e+02
24 193 2.920076e-01 2.065652e+00  5.719966971472194217e+01  7.393647152186174765e+01  9.578675033980772469e+01  1.164254357199043426e+02
25 201 2.581949e-01 2.062000e+00  5.719966971472194217e+01  9.171249953591447479e+01  1.093503090904946760e+02  1.314529376989044067e+02
26 209 2.335224e-01 2.042972e+00  5.719966971472194217e+01  8.163304061717580851e+01  1.038561996209669189e+02  1.221725942587959111e+02
27 217 2.261212e-01 2.001481e+00  5.719966971472194217e+01  7.318000135255823579e+01  1.050394283422993453e+02  1.171348648607624625e+02
28 225 2.180396e-01 1.890329e+00  5.719966971472194217e+01  6.973855154075290841e+01  1.112534715093887883e+02  1.309462979332712393e+02
29 233 2.041230e-01 1.905842e+00  5.719966971472194217e+01  8.898793501278115059e+01  1.050768109266157637e+02  1.269440954262158812e+02
30 241 2.080269e-01 2.046324e+00  5.719966971472194217e+01  6.617247110288654710e+01  1.022546750154127722e+02  1.245706441949792094e+02
31 249 1.919242e-01 2.062757e+00  5.719966971472194217e+01  7.239905248744491928e+01  9.830103527317376688e+01  1.269431465808074080e+02
32 257 1.942454e-01 2.132458e+00  5.719966971472194217e+01  7.239362042411117670e+01  1.093259030118568091e+02  1.369790117224599157e+02
33 265 1.957680e-01 2.128553e+00  5.719966971472194217e+01  8.190442436668615755e+01  1.032218364260004364e+02  1.203250778407347212e+02
34 273 1.939125e-01 2.134307e+00  5.719966971472194217e+01  7.966905549884516802e+01  1.041662368500718117e+02  1.448731198614407276e+02
35 281 1.921219e-01 2.318645e+00  5.719966971472194217e+01  8.578407765916585959e+01  1.026183211800351813e+02  1.409462888979352044e+02
36 289 1.787897e-01 2.393042e+00  5.719966971472194217e+01  1.001318557719553439e+02  1.092982280064088911e+02  1.264684279417043058e+02
37 297 1.523911e-01 2.354017e+00  5.719966971472194217e+01  7.587224751113626553e+01  8.920512385642621211e+01  1.122944592151495442e+02
38 305 1.406349e-01 2.264944e+00  5.719966971472194217e+01  8.889732833397187051e+01  1.071046053843037242e+02  1.254341631544148186e+02
39 313 1.177147e-01 2.305629e+00  5.719966971472194217e+01  8.740417408883168093e+01  1.008834905148569590e+02  1.282175667911035362e+02
40 321 9.819835e-02 2.326803e+00  5.719966971472194217e+01  6.878970752628687535e+01  9.796309544746614506e+01  1.219413463097783534e+02
41 329 9.604693e-02 2.315910e+00  5.719966971472194217e+01  7.726138807717975965e+01  1.073914947174566521e+02  1.279744764510370914e+02
42 337 9.653269e-02 2.289743e+00  5.719966971472194217e+01  1.014146872299543958e+02  1.117140464958816892e+02  1.169966981640689312e+02
43 345 9.081298e-02 2.231787e+00  5.719966971472194217e+01  5.876871432503989467e+01  1.053417387001270811e+02  1.146959717128992082e+02
44 353 8.324997e-02 2.197548e+00  5.719966971472194217e+01  5.919888763093496209e+01  1.041129626277726743e+02  1.242570386897811261e+02
45 361 8.167244e-02 2.180748e+00  5.719966971472194217e+01  7.809661354540074285e+01  1.117241199287540638e+02  1.345028711406440891e+02
46 369 8.467189e-02 2.515908e+00  5.719966971472194217e+01  8.652758472426589265e+01  1.083074220910843479e+02  1.285550203366848336e+02
47 377 8.596081e-02 2.639140e+00  5.719966971472194217e+01  9.508322319589889560e+01  1.072880758248235935e+02  1.127460396718299478e+02
48 385 9.450458e-02 2.561945e+00  5.719966971472194217e+01  8.274578969328679534e+01  1.005588320253101671e+02  1.206415932879702240e+02
49 393 9.362894e-02 2.604171e+00  5.719966971472194217e+01  9.210714037847580471e+01  1.029267288232973385e+02  1.233777230355305079e+02
50 401 9.009764e-02 2.716328e+00  5.719966971472194217e+01  7.277712472934433663e+01  9.937039597121233214e+01  1.318599563356126509e+02
51 409 9.513336e-02 2.820257e+00  5.719966971472194217e+01  8.867310729751578435e+01  9.588617795456939064e+01  1.253704973012673776e+02
52 417 8.437936e-02 2.904312e+00  5.719966971472194217e+01  8.170261700533762905e+01  1.035488724602633397e+02  1.131679359329609866e+02
53 425 8.467331e-02 2.879579e+00  5.719966971472194217e+01  9.136842301214630879e+01  1.040648522645424237e+02  1.179221132002593606e+02
54 433 7.892021e-02 2.899171e+00  5.719966971472194217e+01  8.662640969354947629e+01  1.090799603311292003e+02  1.154488452932915266e+02
55 441 7.843831e-02 2.794719e+00  5.719966971472194217e+01  7.195865727634220832e+01  1.087726414163518882e+02  1.195725349585177923e+02
56 449 7.495205e-02 2.795591e+00  5.719966971472194217e+01  8.304483808008663459e+01  9.973837093274099175e+01  1.172868632244476430e+02
57 457 6.577772e-02 2.685200e+00  5.719966971472194217e+01  7.392446371327380916e+01  9.487996134082820276e+01  1.024917660026532928e+02
58 465 6.795365e-02 2.589689e+00  5.719966971472194217e+01  7.807342499657858070e+01  9.381729614266635053e+01  1.142805104621340462e+02
59 473 7.582120e-02 2.580580e+00  5.719966971472194217e+01  8.437314407377147063e+01  1.026740028127879611e+02  1.128566532587762197e+02
60 481 6.543026e-02 2.687049e+00  5.719966971472194217e+01  7.819032354579817934e+01  1.019778160804452085e+02  1.176883787254763689e+02
61 489 6.392533e-02 2.686603e+00  5.719966971472194217e+01  7.251906846819963448e+01  1.031569525221607364e+02  1.204793009244614268e+02
62 497 6.894133e-02 2.498560e+00  5.719966971472194217e+01  9.006900586085629357e+01  1.022970200363607916e+02  1.124868322763388306e+02
63 505 7.302176e-02 2.493705e+00  5.719966971472194217e+01  8.542817307716768482e+01  1.020413999277505468e+02  1.152886489000500490e+02
64 513 7.411153e-02 2.485039e+00  5.719966971472194217e+01  6.967228035850260426e+01  9.545913134050013582e+01  1.127704346367618342e+02
65 521 7.193641e-02 2.522107e+00  5.719966971472194217e+01  7.087841272172232721e+01  9.251299894873065455e+01  1.103786787840478780e+02
66 529 8.146641e-02 2.933886e+00  5.719966971472194217e+01  6.566373911864829438e+01  8.897733941695329918e+01  1.033263593314737250e+02
67 537 7.376996e-02 2.853726e+00  5.719966971472194217e+01  6.833543586548074700e+01  1.002799263057421228e+02  1.118770392799283400e+02
68 545 6.361764e-02 2.982342e+00  5.719966971472194217e+01  7.635835003155470702e+01  8.566267098977442629e+01  1.056675421764723524e+02
69 553 5.082487e-02 2.982611e+00  5.719966971472194217e+01  6.949486404878051360e+01  8.324010676131001674e+01  1.106379832584794087e+02
70 561 4.757904e-02 2.889133e+00  5.719966971472194217e+01  7.993995233642213805e+01  9.190434464540572890e+01  1.053700622838068597e+02
71 569 4.570568e-02 2.890492e+00  5.719966971472194217e+01  7.272880728834503827e+01  9.037044778790021837e+01  1.060019009953892635e+02
72 577 4.760634e-02 2.971617e+00  5.719966971472194217e+01  6.808469465501678997e+01  8.535856203457288416e+01  1.071822128593246077e+02
