%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=2960232141, 2016/01/13 19:41:57.7)
88 705  5.846327549303117621e+01 0 0 2.965287e-01 -1.312069e+00 -8.577637e-01 -4.787376e-01 1.894669e+00 
89 713  5.840644584252820692e+01 0 0 3.027728e-01 -1.314406e+00 -8.536523e-01 -4.727057e-01 1.901941e+00 
90 721  5.805282433366394912e+01 0 0 3.027261e-01 -1.312683e+00 -8.548248e-01 -4.708558e-01 1.903144e+00 
91 729  5.812751833246522182e+01 0 0 2.980032e-01 -1.310988e+00 -8.587587e-01 -4.770427e-01 1.895938e+00 
92 737  5.745362002670235313e+01 0 0 3.000925e-01 -1.310705e+00 -8.645346e-01 -4.760958e-01 1.898042e+00 
93 745  5.765883398940181337e+01 0 0 3.029506e-01 -1.310224e+00 -8.595807e-01 -4.731234e-01 1.904474e+00 
94 753  5.781133453487948515e+01 0 0 3.009382e-01 -1.311367e+00 -8.579037e-01 -4.723786e-01 1.900354e+00 
95 761  5.762083575434073168e+01 0 0 2.987227e-01 -1.311719e+00 -8.649641e-01 -4.779071e-01 1.898447e+00 
96 769  5.741686107866996025e+01 0 0 2.994976e-01 -1.309176e+00 -8.649271e-01 -4.809608e-01 1.894652e+00 
97 777  5.713092777547350920e+01 0 0 3.050251e-01 -1.307996e+00 -8.657804e-01 -4.747913e-01 1.902351e+00 
98 785  5.695964823590528425e+01 0 0 3.036991e-01 -1.307751e+00 -8.670494e-01 -4.788426e-01 1.901217e+00 
99 793  5.729955497677224940e+01 0 0 2.989582e-01 -1.310103e+00 -8.707447e-01 -4.848872e-01 1.895687e+00 
100 801  5.681722026902882305e+01 0 0 3.028042e-01 -1.307340e+00 -8.691098e-01 -4.808390e-01 1.897928e+00 
101 809  5.676301201222146631e+01 0 0 3.015210e-01 -1.307305e+00 -8.755600e-01 -4.844250e-01 1.896016e+00 
102 817  5.671852622356994544e+01 0 0 3.020074e-01 -1.306830e+00 -8.735090e-01 -4.861320e-01 1.896196e+00 
103 825  5.644717842992216106e+01 0 0 3.074436e-01 -1.304280e+00 -8.729898e-01 -4.817808e-01 1.901217e+00 
104 833  5.646691619988804689e+01 0 0 3.065506e-01 -1.302946e+00 -8.717876e-01 -4.818729e-01 1.897827e+00 
105 841  5.612769798329389914e+01 0 0 3.071649e-01 -1.302153e+00 -8.782365e-01 -4.852805e-01 1.897833e+00 
106 849  5.603738028389284409e+01 0 0 3.070835e-01 -1.300554e+00 -8.811777e-01 -4.843679e-01 1.898268e+00 
107 857  5.594094539704461511e+01 0 0 3.076152e-01 -1.299547e+00 -8.863223e-01 -4.918209e-01 1.893810e+00 
108 865  5.565429549722274771e+01 0 0 3.103284e-01 -1.293770e+00 -8.960615e-01 -4.986895e-01 1.895259e+00 
109 873  5.558239573834896419e+01 0 0 3.123188e-01 -1.291601e+00 -8.966401e-01 -4.972286e-01 1.895282e+00 
110 881  5.584554218342921672e+01 0 0 3.153508e-01 -1.288676e+00 -9.024518e-01 -4.963919e-01 1.894998e+00 
111 889  5.558572049579995422e+01 0 0 3.138888e-01 -1.291970e+00 -8.929134e-01 -4.923702e-01 1.899095e+00 
112 897  5.574524805701047825e+01 0 0 3.118824e-01 -1.289971e+00 -9.064605e-01 -5.008370e-01 1.892675e+00 
113 905  5.565390400608488619e+01 0 0 3.162905e-01 -1.288727e+00 -9.022689e-01 -4.982636e-01 1.898893e+00 
114 913  5.565519407294435439e+01 0 0 3.117834e-01 -1.292083e+00 -9.016897e-01 -4.993604e-01 1.894697e+00 
115 921  5.558310836966465729e+01 0 0 3.145105e-01 -1.290038e+00 -8.972782e-01 -4.947258e-01 1.898301e+00 
116 929  5.556676849546551722e+01 0 0 3.130877e-01 -1.292910e+00 -8.932441e-01 -4.936549e-01 1.898950e+00 
